First Name,Surname,Team,Position,Fitness,Passing accuracy,Shot accuracy,Shot frequency,Defensiveness,Agression,Position,Dribbling,Chance Creation,Offside adherence
Nuka, Ademović, Australia, Goal Keeper,0.22,0.51,0.15,0.34,0.75,0.89,0.48,0.39,0.03,0.9
Abbas, Aguilar, Senegal, Midfielder,0.64,0.85,0.38,0.73,0.49,0.72,0.61,0.95,0.93,0.7
Óliver, Aguirre, Ecuador, Goal Keeper,0.45,0.76,0.47,0.21,0.99,0.85,0.98,0.34,0.02,0.94
Pari, Ahamed, Senegal, Midfielder,0.58,0.67,0.75,0.45,0.37,0.46,0.8,0.74,0.91,0.72
Irina, Ahmadov, Wales, Goal Keeper,0.67,0.87,0.26,0.34,0.76,0.83,0.81,0.37,0.15,0.83
Daniil, Ahmetović, Brazil, Goal Keeper,0.12,0.65,0.47,0.35,0.86,0.35,0.96,0.36,0.18,0.95
Chih-hao, Ahn, Wales, Forward,0.15,0.48,0.66,0.64,0.49,0.3,0.78,0.7,0.76,0.46
Ana, Ahn, Belgium, Forward,0.93,0.46,0.57,0.82,0.32,0.33,0.63,0.45,0.42,0.48
Rin, Aigner, Iran, Defender,0.41,0.72,0.42,0.09,0.52,0.51,0.73,0.61,0.53,0.95
Théo, Ali, Netherlands, Forward,0.92,0.41,0.7,0.79,0.42,0.47,0.57,0.71,0.35,0.66
Omer, Ali, USA, Defender,0.35,0.85,0.43,0.0,0.65,0.89,0.47,0.65,0.59,0.9
Louise, Aliyev, Costa Rica, Goal Keeper,0.0,0.89,0.49,0.23,0.85,0.59,0.52,0.25,0.12,0.95
Cillian, Allen, Poland, Forward,0.39,0.53,0.58,0.54,0.28,0.64,0.49,0.49,0.73,0.48
Yehuda, Almeida, Uruguay, Defender,0.07,0.64,0.39,0.18,0.83,0.75,0.57,0.37,0.13,0.91
Katrina, Alonso, Cameroon, Forward,0.26,0.54,0.68,0.97,0.6,0.66,0.57,0.44,0.75,0.53
Victor, Alonso, Tunisia, Forward,0.39,0.49,0.7,0.87,0.49,0.77,0.53,0.76,0.96,0.4
Angeliki, Álvarez, Brazil, Midfielder,0.15,0.52,0.32,0.32,0.77,0.29,0.84,0.62,0.64,0.61
Adéla, Amarasinghe, Poland, Defender,0.81,0.76,0.43,0.56,0.74,0.92,0.5,0.78,0.37,0.97
Sara, Amarasinghe, Switzerland, Midfielder,0.16,0.63,0.61,0.52,0.65,0.23,0.62,0.58,0.54,0.53
Adam, Amato, Wales, Forward,0.41,0.52,0.82,0.57,0.55,0.51,0.64,0.46,0.99,0.4
Delfina, Amato, Tunisia, Midfielder,0.85,0.79,0.49,0.86,0.33,0.33,0.89,0.74,0.45,0.68
Felipe, Amato, Mexico, Goal Keeper,0.27,0.57,0.37,0.25,0.98,0.85,0.82,0.37,0.03,0.95
Vár, Ang, Costa Rica, Midfielder,0.18,0.59,0.34,0.48,0.48,0.3,0.54,0.48,0.83,0.51
Aïcha, Aok, Qatar, Defender,0.6,0.54,0.16,0.51,0.74,0.86,0.72,0.73,0.38,0.84
Regina, Arakelyan, Germany, Forward,0.33,0.54,0.7,0.82,0.57,0.31,0.76,0.72,0.78,0.61
Inutsiaq, Araya, Morocco, Midfielder,0.39,0.63,0.6,0.64,0.37,0.33,0.64,0.51,0.91,0.49
Pari, Arias, Portugal, Midfielder,0.42,0.73,0.57,0.52,0.64,0.21,0.4,0.7,0.99,0.47
Stanley, Auer, France, Goal Keeper,0.15,0.61,0.57,0.33,0.83,0.51,0.89,0.23,0.07,0.97
Shu-chuan, Avetisyan, Costa Rica, Midfielder,0.06,0.86,0.7,0.8,0.56,0.38,0.58,0.75,0.82,0.52
Lucás, Avetisyan, USA, Midfielder,0.48,0.77,0.67,0.75,0.38,0.63,0.68,0.59,0.6,0.58
Fahd, Ávila, Cameroon, Defender,0.69,0.67,0.4,0.14,0.64,0.57,0.69,0.37,0.67,0.79
Himari, Ávila, Qatar, Midfielder,0.01,0.81,0.79,0.46,0.38,0.24,0.56,0.79,0.84,0.76
Giulia, Ayala, Saudi Arabia, Defender,0.71,0.7,0.17,0.36,0.66,0.81,0.7,0.36,0.29,0.98
Jonas, Azevedo, Denmark, Forward,0.69,0.64,0.74,0.77,0.55,0.33,0.73,0.82,0.9,0.63
Junior, Bakker, Poland, Forward,0.43,0.67,0.85,0.55,0.21,0.51,0.77,0.51,0.83,0.47
Jacob, Balázs, Portugal, Forward,0.79,0.51,0.64,0.58,0.58,0.64,0.93,0.45,0.9,0.47
Thiago, Balázs, Morocco, Defender,0.85,0.61,0.44,0.2,0.53,0.41,0.79,0.28,0.74,0.85
Yassin, Balogh, Spain, Midfielder,0.4,0.61,0.58,0.42,0.72,0.24,0.97,0.63,0.74,0.51
Adomas, Bandara, Wales, Goal Keeper,0.12,0.61,0.55,0.38,0.92,0.52,0.77,0.37,0.11,0.98
Hassan, Barbosa, South Korea, Defender,0.32,0.61,0.17,0.52,0.56,1.06,0.64,0.57,0.59,0.71
Delfina, Barbosa, Iran, Midfielder,0.99,0.72,0.57,0.39,0.61,0.23,0.51,0.89,0.35,0.72
I-chun, Barišić, Argentina, Forward,0.84,0.67,0.88,0.57,0.43,0.56,0.47,0.41,0.36,0.74
Julija, Barone, Wales, Forward,0.57,0.54,0.59,0.92,0.25,0.77,0.91,0.46,0.49,0.73
Maximiliano, Barone, Saudi Arabia, Forward,0.28,0.69,0.83,0.49,0.35,0.78,0.83,0.46,0.89,0.89
Aruuzat, Barone, Mexico, Midfielder,0.19,0.5,0.75,0.75,0.78,0.41,0.96,0.61,0.89,0.75
Emilia, Battaglia, Morocco, Forward,0.7,0.5,0.75,0.64,0.36,0.49,0.44,0.44,0.8,0.41
Shristi, Battaglia, Brazil, Midfielder,0.71,0.6,0.32,0.35,0.75,0.24,0.77,0.58,0.45,0.56
Eeli, Bektashi, Serbia, Defender,0.2,0.74,0.58,0.53,0.78,0.77,0.72,0.42,0.64,0.56
João Miguel, Bektashi, Spain, Midfielder,0.65,0.75,0.7,0.87,0.33,0.53,0.5,0.56,0.46,0.62
Delfina, Bell, Denmark, Forward,0.9,0.6,0.64,0.43,0.42,0.49,0.48,0.66,0.89,0.46
Bernardo, Bellini, Brazil, Defender,0.64,0.63,0.58,0.36,0.65,0.4,0.48,0.54,0.36,0.74
Prisha, Bellini, France, Midfielder,0.38,0.62,0.66,0.76,0.4,0.72,0.78,0.73,0.92,0.41
Matías, Ben, Portugal, Defender,0.4,0.71,0.34,0.1,0.85,0.98,0.35,0.45,0.63,0.93
Nehir, Ben, Tunisia, Forward,0.04,0.49,0.53,0.79,0.6,0.6,0.98,0.91,0.74,0.7
Himari, Benali, England, Forward,0.97,0.53,0.82,0.83,0.22,0.68,0.51,0.66,0.38,0.49
